FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
120803;0600;;;22,24;
120803;0700;;;43,81;
120803;0800;;;39,09;
120803;0900;;;57,29;
120803;1000;;;24,94;
120803;1100;;;14,15;
120803;1200;;;67,3999;
120803;1300;;;25,61;
120803;1400;;;10,78;
120803;1500;;;20,22;
120803;1600;;;26,96;
120803;1700;;;30,32;
120803;1800;;;42,45;
120803;1900;;;95,7;
120803;2000;;;84,2;
120803;2100;;;228,5;
120803;2200;;;97,7;
120803;2300;;;44,48;
120804;0000;;;104,5;
120804;0100;;;65,3899;
120804;0200;;;50,56;
120804;0300;;;39,1;
120804;0400;;;64,0498;
120804;0500;;;31,02;
120804;0600;;;35,74;
120804;0700;;;41,1299;
120804;0800;;;45,85;
120804;0900;;;28,99;
120804;1000;;;24,95;
120804;1100;;;21,57;
120804;1200;;;13,48;
120804;1300;;;16,17;
120804;1400;;;10,78;
120804;1500;;;12,12;
120804;1600;;;9,42998;
120804;1700;;;8,75;
120804;1800;;;25,59;
120804;1900;;;32,3199;
120804;2000;;;45,1299;
120804;2100;;;48,5;
120804;2200;;;126,7;
120804;2300;;;338,9;
120805;0000;;;310;
120805;0100;;;372,7;
120805;0200;;;308,1;
120805;0300;;;248,8;
120805;0400;;;72,8198;
120805;0500;;;27,64;
120805;0600;;;26,3;
120805;0700;;;25,62;
120805;0800;;;20,23;
120805;0900;;;33,71;
120805;1000;;;41,8;
120805;1100;;;64,3799;
120805;1200;;;62,68;
120805;1300;;;14,15;
120805;1400;;;15,49;
120805;1500;;;8,07999;
120805;1600;;;7,407;
120805;1700;;;10,1;
120805;1800;;;45,79;
120805;1900;;;50,5099;
120805;2000;;;30,31;
120805;2100;;;39,74;
120805;2200;;;39,75;
120805;2300;;;34,36;
120806;0000;;;27,63;
120806;0100;;;20,89;
120806;0200;;;18,87;
120806;0300;;;20,89;
120806;0400;;;17,52;
120806;0500;;;9,43999;
120806;0600;;;11,46;
120806;0700;;;12,13;
120806;0800;;;12,81;
120806;0900;;;21,57;
120806;1000;;;13,48;
120806;1100;;;12,81;
120806;1200;;;21,57;
120806;1300;;;23,59;
120806;1400;;;21,56;
120806;1500;;;26,28;
120806;1600;;;18,19;
120806;1700;;;19,54;
120806;1800;;;28,29;
120806;1900;;;33,6899;
120806;2000;;;30,32;
120806;2100;;;29,65;
120806;2200;;;24,94;
120806;2300;;;26,96;
120807;0000;;;28,31;
120807;0100;;;22,92;
120807;0200;;;17,53;
120807;0300;;;14,16;
120807;0400;;;18,2;
120807;0500;;;19,55;
120807;0600;;;19,55;
120807;0700;;;28,32;
120807;0800;;;22,25;
120807;0900;;;24,27;
120807;1000;;;18,2;
120807;1100;;;24,27;
120807;1200;;;26,29;
120807;1300;;;28,31;
120807;1400;;;24,94;
120807;1500;;;27,63;
120807;1600;;;26,95;
120807;1700;;;40,42;
120807;1800;;;51,8799;
120807;1900;;;76,1399;
120807;2000;;;47,84;
120807;2100;;;45,16;
120807;2200;;;257,5;
120807;2300;;;41,12;
120808;0000;;;41,1299;
120808;0100;;;72,8098;
120808;0200;;;50,56;
120808;0300;;;33,71;
120808;0400;;;37,7599;
120808;0500;;;28,32;
120808;0600;;;26,3;
120808;0700;;;21,58;
120808;0800;;;27,64;
120808;0900;;;37,08;
120808;1000;;;33,71;
120808;1100;;;34,3799;
120808;1200;;;41,8;
120808;1300;;;32,35;
120808;1400;;;34,37;
120808;1500;;;36,06;
120808;1600;;;33,02;
120808;1700;;;34,37;
120808;1800;;;41,78;
120808;1900;;;47,18;
120808;2000;;;41,79;
120808;2100;;;39,43;
120808;2200;;;39,1;
120808;2300;;;33,71;
120809;0000;;;34,3799;
120809;0100;;;33,04;
120809;0200;;;26,29;
120809;0300;;;24,95;
120809;0400;;;20,9;
120809;0500;;;22,92;
120809;0600;;;15,51;
120809;0700;;;22,25;
120809;0800;;;19,55;
120809;0900;;;27,3;
120809;1000;;;23,6;
120809;1100;;;24,27;
120809;1200;;;31,69;
120809;1300;;;26,29;
120809;1400;;;23,59;
120809;1500;;;32,35;
120809;1600;;;31;
120809;1700;;;31;
120809;1800;;;35,72;
120809;1900;;;35,73;
120809;2000;;;31,01;
120809;2100;;;27,64;
120809;2200;;;26,97;
120809;2300;;;20,9;
120810;0000;;;1000;
120810;0100;;;61,35;
120810;0200;;;25,62;
120810;0300;;;16,18;
120810;0400;;;13,48;
120810;0500;;;12,14;
120810;0600;;;9,43999;
120810;0700;;;18,2;
120810;0800;;;15,51;
120810;0900;;;26,97;
120810;1000;;;31,69;
120810;1100;;;28,99;
120810;1200;;;26,97;
120810;1300;;;18,2;
120810;1400;;;24,27;
120810;1500;;;22,91;
120810;1600;;;28,98;
120810;1700;;;28,31;
120810;1800;;;26,29;
120810;1900;;;34,3799;
120810;2000;;;41,1299;
120810;2100;;;64,0498;
120810;2200;;;161,8;
120810;2300;;;157,1;
120811;0000;;;44,5099;
120811;0100;;;41,81;
120811;0200;;;34,39;
120811;0300;;;24,95;
120811;0400;;;14,16;
120811;0500;;;18,21;
120811;0600;;;20,23;
120811;0700;;;21,58;
120811;0800;;;19,56;
120811;0900;;;22,93;
120811;1000;;;23,94;
120811;1100;;;24,95;
120811;1200;;;21,58;
120811;1300;;;24,27;
120811;1400;;;25,62;
120811;1500;;;26,29;
120811;1600;;;27,64;
120811;1700;;;33,04;
120811;1800;;;70,7898;
120811;1900;;;89,7;
120811;2000;;;359,4;
120811;2100;;;348;
120811;2200;;;226,6;
120811;2300;;;189,5;
120812;0000;;;362,9;
120812;0100;;;339,3;
120812;0200;;;209,1;
120812;0300;;;349,4;
120812;0400;;;179,7;
120812;0500;;;126,1;
120812;0600;;;87,7;
120812;0700;;;93,7;
120812;0800;;;60,7;
120812;0900;;;55,97;
120812;1000;;;45,17;
120812;1100;;;33,02;
120812;1200;;;23,59;
120812;1300;;;5,39;
120812;1400;;;6,064;
120812;1500;;;14,83;
120812;1600;;;25,61;
120812;1700;;;17,53;
120812;1800;;;39,78;
120812;1900;;;41,1299;
120812;2000;;;82,2998;
120812;2100;;;53,9399;
120812;2200;;;88,2998;
120812;2300;;;25,62;
120813;0000;;;19,56;
120813;0100;;;11,47;
120813;0200;;;12,81;
120813;0300;;;19,56;
120813;0400;;;16,19;
120813;0500;;;14,84;
120813;0600;;;16,86;
120813;0700;;;19,56;
120813;0800;;;19,56;
120813;0900;;;31,02;
120813;1000;;;29;
120813;1100;;;34,4;
120813;1200;;;43,83;
120813;1300;;;0;
120813;1400;;;41,8;
120813;1500;;;47,53;
120813;1600;;;43,8199;
120813;1700;;;59,33;
120813;1800;;;66,0698;
120813;1900;;;72,8198;
120813;2000;;;282,5;
120813;2100;;;144,3;
120813;2200;;;200,9;
120813;2300;;;113,3;
120814;0000;;;95,1;
120814;0100;;;89;
120814;0200;;;89,7;
120814;0300;;;69,46;
120814;0400;;;80,2998;
120814;0500;;;72,84;
120814;0600;;;44,5099;
120814;0700;;;66,09;
120814;0800;;;76,21;
120814;0900;;;62,72;
120814;1000;;;64,0598;
120814;1100;;;59,33;
120814;1200;;;71,47;
120814;1300;;;105,9;
120814;1400;;;44,5;
120814;1500;;;16,18;
120814;1600;;;19,55;
120814;1700;;;64,0498;
120814;1800;;;165,9;
120814;1900;;;163,8;
120814;2000;;;120,7;
120814;2100;;;102,5;
120814;2200;;;259,6;
120814;2300;;;145;
120815;0000;;;238,7;
120815;0100;;;178,7;
120815;0200;;;38,43;
120815;0300;;;37,08;
120815;0400;;;35,06;
120815;0500;;;20,9;
120815;0600;;;28,99;
120815;0700;;;33,04;
120815;0800;;;37,08;
120815;0900;;;33,71;
120815;1000;;;41,1299;
120815;1100;;;66,75;
120815;1200;;;70,12;
120815;1300;;;37,08;
120815;1400;;;59,33;
120815;1500;;;36,41;
120815;1600;;;27,64;
120815;1700;;;53,9399;
120815;1800;;;39,78;
120815;1900;;;28,32;
120815;2000;;;24,95;
120815;2100;;;22,25;
120815;2200;;;22,25;
120815;2300;;;19,55;
120816;0000;;;18,88;
120816;0100;;;25,62;
120816;0200;;;7,417;
120816;0300;;;8,09;
120816;0400;;;9,43999;
120816;0500;;;8,09;
120816;0600;;;8,09;
120816;0700;;;14,83;
120816;0800;;;16,18;
120816;0900;;;8,76999;
120816;1000;;;6,06799;
120816;1100;;;3,708;
120816;1200;;;4,71899;
120816;1300;;;5,393;
120816;1400;;;6,741;
120816;1500;;;8,09;
120816;1600;;;5,394;
120816;1700;;;14,83;
120816;1800;;;22,92;
120816;1900;;;31,69;
120816;2000;;;31,01;
120816;2100;;;46,52;
120816;2200;;;60,68;
120816;2300;;;82,2998;
120817;0000;;;48,54;
120817;0100;;;31,01;
120817;0200;;;35,73;
120817;0300;;;18,2;
120817;0400;;;16,18;
120817;0500;;;9,43999;
120817;0600;;;14,83;
120817;0700;;;42,47;
120817;0800;;;30,34;
120817;0900;;;31,69;
120817;1000;;;28,99;
120817;1100;;;22,92;
120817;1200;;;12,81;
120817;1300;;;;
120817;1400;;;;
120817;1500;;;;
120817;1600;;;;
120817;1700;;;;
120817;1800;;;;
120817;1900;;;;
120817;2000;;;;
120817;2100;;;;
120817;2200;;;;
120817;2300;;;;
120818;0000;;;118,7;
120818;0100;;;134,2;
120818;0200;;;139,6;
120818;0300;;;85;
120818;0400;;;87,7;
120818;0500;;;60,0099;
120818;0600;;;18,88;
120818;0700;;;31,02;
120818;0800;;;30,35;
120818;0900;;;43,83;
120818;1000;;;67,4298;
120818;1100;;;53,9399;
120818;1200;;;22,25;
120818;1300;;;12,81;
120818;1400;;;11,46;
120818;1500;;;10,11;
120818;1600;;;8,09;
120818;1700;;;26,29;
120818;1800;;;23,6;
120818;1900;;;30,34;
120818;2000;;;37,75;
120818;2100;;;101,8;
120818;2200;;;174,6;
120818;2300;;;149;
120819;0000;;;132,8;
120819;0100;;;122,7;
120819;0200;;;49,22;
120819;0300;;;91;
120819;0400;;;77,5398;
120819;0500;;;39,78;
120819;0600;;;27,64;
120819;0700;;;38,43;
120819;0800;;;28,99;
120819;0900;;;33,71;
120819;1000;;;57,31;
120819;1100;;;45,17;
120819;1200;;;33,04;
120819;1300;;;37,75;
120819;1400;;;37,75;
120819;1500;;;39,78;
120819;1600;;;79,22;
120819;1700;;;134,8;
120819;1800;;;159,1;
120819;1900;;;99,7998;
120819;2000;;;120,7;
120819;2100;;;91;
120819;2200;;;163,8;
120819;2300;;;315,5;
120820;0000;;;401,2;
120820;0100;;;169,9;
120820;0200;;;199,6;
120820;0300;;;249,5;
120820;0400;;;35,0699;
120820;0500;;;33,05;
120820;0600;;;21,58;
120820;0700;;;52,6;
120820;0800;;;34,4;
120820;0900;;;53,95;
120820;1000;;;18,21;
120820;1100;;;51,91;
120820;1200;;;43,15;
120820;1300;;;37,08;
120820;1400;;;19,55;
120820;1500;;;6,06599;
120820;1600;;;9,43999;
120820;1700;;;;
